image,first_value,second_value
202508011724294810999433D646578ED24A67EE1B58F3.jpg,3.970703125,0.5145806074142456
202508011724300D54C161E4504FA0B0044A8D1CD8F13B.jpg,4.08984375,0.5280359983444214
202508011744028E30F6A2B2A048EC8EB40E051ABA29F8.jpg,4.12890625,0.543764591217041
20250801175350C0736DA86A5A4AD09E4E8700948B6BE6.jpg,3.9921875,0.43557021021842957
2025082218001773e6cf299c294f8aa622e42cb5384eb9.jpg,4.2578125,0.45843392610549927
20250822194641F15F58FBBA07452DA821C9F22C23DF13.jpg,4.15625,0.6655001640319824
20250902183332865BF2860813448D987738FBB6C31082.jpg,4.46484375,0.37798428535461426
2025090218494503A8B0D44DFA40E59E21661A43EDA802.jpg,4.359375,0.5577594041824341
20250902184945A8AB36D9D4B84C64A334C324982B63C7.jpg,3.953125,0.43872177600860596
2025090515442942EE6C28615A4885835F69CABB3B4896.jpg,3.302734375,0.5189983248710632
2025092318440421D6F5C8058E42A6B12EC81F91DB43DF.jpg,3.87109375,0.576153576374054
dsp_url_202508081750470EA553EE84CE4204AC7BA16EED243802.jpg,4.3203125,0.5955145955085754
dsp_url_202509231800066EBB8604E92D427996C59A51D047D660.jpg,2.900390625,0.27711600065231323
文字促销感重_后期处理_精美度__202508081032427e60e7e5c5524cc89db6ce0aa29db9a3.jpg,3.9296875,0.7074806690216064
文字促销感重_后期处理_精美度_清晰度__20250810103745a5cdbbd6c39d4d589f85e4f8338c3cd9.jpg,4.1640625,0.702642023563385
文字促销感重_后期处理_精美度_清晰度__202508101039468ecdcf5d7cf74d9e825dcb000f752f46.jpg,4.09765625,0.599070131778717
文字促销感重_后期处理_精美度_清晰度__20250810104248cfda344ae0964edd90220b85f54771b0.jpg,4.0625,0.6939282417297363
文字促销感重_后期处理_精美度_清晰度__20250810105444dd8414ace5c74b9d8bca3006ef055068.jpg,4.3203125,0.7083465456962585
文字促销感重_清晰度_精美度__202508081025121c000e96521847d4b5efe8ca121841e4.jpg,3.869140625,0.6975467801094055
文字促销感重_清晰度_精美度__20250808102750c2a20d98ae164312ae7396a8cd1c0b08.jpg,3.466796875,0.5818092226982117
文字促销感重_清晰度_精美度__20250808104722d87083adcf4a4cf3843487466f9a280b.jpg,4.06640625,0.4742397665977478
文字促销感重_清晰度_精美度__20250808105203f7afd5a5760c4d3aa691ea7e1490cbb1.jpg,3.84375,0.6539300084114075
文字促销感重_清晰度_精美度__202508101024561ae8647952c147b5a98c3232b9227784.jpg,3.947265625,0.5727234482765198
文字促销感重_清晰度_精美度__20250810102714f9d641c402eb4c24851c868f59017e14.jpg,4.15625,0.6911641955375671
文字促销感重_清晰度_精美度__20250810103749c528d1aefb8449468a403f38d05e8d2b.jpg,4.11328125,0.6726782321929932
文字促销感重_清晰度_精美度__202508101040192204b8c441e24faeae247e2e25a2d69b.jpg,3.953125,0.6136009097099304
文字促销感重_精美度_清晰度__20250808102753e29b23da6a56409392cead9b466965da.jpg,3.578125,0.5882598757743835
文字促销感重_精美度_清晰度（模棱两可额）__20250810102459b0237f1a0bbd4b1fa64734925bed0c8e.jpg,3.810546875,0.60428786277771
202507171759420E3753EA5DE54D10A921F50543CD40B5.jpg,4.36328125,0.5779425501823425
202507301128478BC608779F354EBA974D3A8BD9D886D7.jpg,3.89453125,0.546360433101654
2025080515171275A120FF9906452980D21795B82E1DA9.jpg,4.39453125,0.6518017053604126
2025080609314806304AD5E6784CA1B9E5EEE1653F9AAB.jpg,3.939453125,0.6447573900222778
20250813160846196787B34459415B9E089FB6C01B9090.jpg,4.31640625,0.701745867729187
2025081518124049b65db3ad2b42888f6061e8749e63a2.jpg,4.1328125,0.6952669024467468
2025081810463743ed3efc3af141188679e417662a9a87.jpg,4.31640625,0.6414879560470581
2025081811550156EEA4F44FED43639E64BF6B8A4A2B14.jpg,4.31640625,0.6606512665748596
2025081818240278AE902D4EE64CDE83C1C885FD8AD815.jpg,4.30859375,0.6064467430114746
2025081821460640DAAC12103447E98D72630B09582F53.jpg,4.2265625,0.7140315771102905
202508191452286873E4A7171F4781A19C1E3FDBB1F7A8.jpg,4.13671875,0.6368594169616699
20250820112913CC4238BC69FA46CCB1CA8D29324CEA89.jpg,4.47265625,0.6905313730239868
20250820112913E9C27F4B1CB8491FBAA72D9B5C4E7644.jpg,4.40234375,0.6471689939498901
20250820112914F874B53A86C04723AADAD4508E3BAA08.jpg,4.5078125,0.7597354650497437
20250820112914FCA8F17065FE4F5A8BE0B084150C2BDE.jpg,4.58203125,0.5993754267692566
20250820174958C3DF67ACEE2A40E8A1AC0E2C19250DC6.jpg,3.869140625,0.6628815531730652
20250820211118e029a3a354a8412587914f47f9679fb8.jpg,4.31640625,0.6058523058891296
20250820211130f433ce25bbd14704884a27fe5590f220.jpg,4.4765625,0.6762619614601135
20250820211209df0ee33cdeb04fa5aa8ffeb53f5988aa.jpg,4.46484375,0.6413785219192505
20250820211212ff41d43d5cb74756923cc9bce6783c42.jpg,4.34765625,0.6130399703979492
20250820211430880fbae6a16e4e1c9fcc84278ec85d87.jpg,4.11328125,0.6307457685470581
20250820211539c1975a2b4929442385ef48a25bfc91b3.jpg,4.27734375,0.6589416861534119
20250821145317E4398E4AED7F4F9F84CECA3EBEC7A025.jpg,3.9765625,0.5931840538978577
20250821162700A87CA78F70204081B78A97CAA4B90176.jpg,4.0234375,0.5831785202026367
20250821162701F3E96487C4094701902E230F1AB9DF64.jpg,4.23046875,0.6352905035018921
_20250818102728e0ba23aa8458464ab443e37a611ad4c2.jpg,4.3984375,0.6944670081138611
_20250820112914F4C3AB9B5AE24BA7AB825E415CCCC054.jpg,4.578125,0.6404750943183899
_202508201510250F0DEC26EEB9410B9D5901F1643273B2.jpg,4.08984375,0.569351851940155
_20250820151025ED806B8BFD464AB6BAA257D3026342A6.jpg,4.12109375,0.5705673694610596
_20250820191913e89faac397544adfb2d4197905b6b501.jpg,4.39453125,0.69380122423172
_202508201919171dc6b35eb4fb405bbdc082840647b5f8.jpg,4.44921875,0.6763481497764587
_20250820191918cd52197beccf463c930575eb07b25fe5.jpg,4.58203125,0.6399151682853699
_20250820191926eaf6ce70f7e940f983711037b0365ed4.jpg,4.4453125,0.4785362184047699
_20250820191931fd0f90922e9b46889192a58927a1c084.jpg,4.66015625,0.6020705103874207
_20250820191946eb706912b0164e88a564bd2933ac68a9.jpg,4.52734375,0.6126751899719238
_20250821162701AD57134C4FD247E0A8C9D66245D5656C.jpg,4.19140625,0.7268860936164856
_dsp_url_2025051917345945FB72FC174F4DE68B518B03B0E2B30D.jpg,4.43359375,0.7169226408004761
_dsp_url_2025081317582472794249E5EB429A89E439E81C8ED6A7.jpg,4.0703125,0.6481902003288269
_dsp_url_20250818150052614815232031446DB1C144BEBD86A58F.jpg,4.55078125,0.6045190691947937
_dsp_url_2025081914120668CC8FE7DABF46F68F564C6D1D0E4898.jpg,4.58984375,0.6047294735908508
_dsp_url_2025081917073747973E7496294F9EAF9D919E5B8D1F65.jpg,4.40625,0.5602637529373169
_dsp_url_2025081917402282661CCDD99843DC86295824959A47DC.jpg,4.73046875,0.650303304195404
_dsp_url_2025082017431550D405823D514BBEADF224A1A62CC449.jpg,4.3203125,0.572022020816803
_dsp_url_202508211444339367C6BC9E9141FD88E963CF6C002523.jpg,3.94140625,0.5544169545173645
_dsp_url_202508211702152FA4364E455546E2A6DA8BEC633847AD.jpg,4.89453125,0.7739174365997314
dsp_url_2025050910345170230B855F5E4104BAC156A81E7C4FD1.jpg,4.65234375,0.6106088161468506
dsp_url_2025051313434873998272D1374F9FA1480611BA672C4B.jpg,4.23828125,0.7141086459159851
dsp_url_20250625150356A2B11CA245CC4ACFB519ADF8442392D9.jpg,4.20703125,0.5851951241493225
dsp_url_20250625150356A8F2EC02144F4EEB80B7C87C9CB454A3.jpg,3.87109375,0.46863484382629395
dsp_url_20250703160047BF29E5123CCD491F95BDCCBFF8682D23.jpg,4.19921875,0.6526712775230408
dsp_url_20250707162036DB9103539EF34CC291E760DC73ED802F.jpg,3.990234375,0.48529142141342163
dsp_url_20250715103328DECB09FE1E47405198672CAF9C4F4B21.jpg,4.09375,0.6706236600875854
dsp_url_20250725112342AE576026F07C43FC9566B1C64882BF73.jpg,4.70703125,0.6569740772247314
dsp_url_202507251124082169AE0D9CE2438B8488F82A8D2FE7F9.jpg,4.04296875,0.5398902297019958
dsp_url_20250728142250F6A6B214C924419E99FA783A7CCA4769.jpg,4.4296875,0.6379547119140625
dsp_url_202508081628154826AE2893F94599A57E008563B53310.jpg,4.375,0.6241902112960815
dsp_url_202508141014528278E712B86E4FFC955EB64852F0CEB6.jpg,4.3828125,0.6037764549255371
dsp_url_20250815105251C2C57BA1FFFC453C908827C82993D836.jpg,4.4609375,0.5381878614425659
dsp_url_20250815110819A964E29A88374B819F98CE2AB8B1CE4B.jpg,4.34375,0.6112974286079407
dsp_url_20250815110819B7DB619F7C59429ABCF99F5DDFCCD01A.jpg,4.3046875,0.5834386348724365
dsp_url_2025081511090977BACB55DB734F1EBD9D271FD20D246B.jpg,4.58984375,0.6308523416519165
dsp_url_2025081511385054A314F2CAB544FFA276B0975517A5F0.jpg,4.7421875,0.6348982453346252
dsp_url_2025081518245011EF15EF38A349ADA8C7C86FE850747A.jpg,4.234375,0.6489514112472534
dsp_url_2025081518275697CA0D43D6AC45F78B31C1128648D5EF.jpg,4.2421875,0.6602416634559631
dsp_url_2025081518283250EC2BE34B354F30A30BC56EF690DF06.jpg,4.09375,0.642192542552948
dsp_url_2025081520011978B50753DEAC437FACF2B1DDCAA09A70.jpg,4.36328125,0.6204902529716492
dsp_url_20250815201011A96F6D34B9044DC6982511BF3B2A0275.jpg,4.3046875,0.6936514973640442
dsp_url_20250816204149CF2430E4D8B541DD84DF64BA8BEB857A.jpg,4.13671875,0.6480029225349426
dsp_url_20250817213054B518EFDED8634D6899F75990CD76C635.jpg,4.30078125,0.7427631616592407
dsp_url_20250818150308CA6A90E3A6BD422D83F4EB3BC8A5EC79.jpg,4.44921875,0.6167690753936768
dsp_url_20250818150308FA84BB3E955B451CAC4231DB9582E343.jpg,4.55859375,0.5619165897369385
dsp_url_20250819140833284B5521FA3143868FE411B113CA155A.jpg,4.39453125,0.5861208438873291
dsp_url_20250820175051886C5855F6134FD994DB2E2D80442332.jpg,4.34375,0.656871497631073
dsp_url_20250820175745681A0D0274D94993854F4777F2502FAA.jpg,4.28515625,0.5262367129325867
dsp_url_2025082114341313E50529AF1C4538B65AC09DE70E7F95.jpg,4.79296875,0.6939090490341187
dsp_url_2025082114360841B2191E7D1E4F089EBEB623024EC7AE.jpg,4.45703125,0.6882475018501282
dsp_url_2025082116555265CE45116D6D4CFEBB84379BDFF6E765.jpg,4.78125,0.7672068476676941
dsp_url_2025082117233880A83BB886164FA4AB64A2F0B01F47E6.jpg,4.69140625,0.5867758393287659
